ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
400000	101	S	4	41	52582	19.20	459.805	38.081167	-122.547606	.275	ML	4	SR-37/S Novato Blvd	DT028	L4-S-27-101-01920		
400001	101	N	4	85	68000	38.26	387.897	37.364085	-121.901149	.445	ML	5	NB 880 To NB 101	E37GN	L5-N-37-101-03826		
400006	880	S	4	1	81204	13.54	23.767	37.605003	-122.065542	.34	ML	4	Whipple Road	E33AU	L4-S-33-880-01354		
400009	80	W	4	1	6000	5.63	10.94	37.863905	-122.303083	.12	ML	5	University Ave		L5-W-33-080-00563		
400010	101	N	4	81		19.84	422.027	37.623668	-122.400687	.45	ML	4	S.F.Airportsan Bruno Ave - 4	DT292	L4-N-35-101-01984		
400011	101	S	4	41	52582	16.15	456.755	38.041862	-122.536533	.225	ML	5	Alameda Del Prado -Miller Creek	DT556	L5-S-27-101-01615		
400014	101	N	4	85	68000	27.22	376.491	37.245818	-121.775473	.29	ML	4	Bernal Road	E37CT	L4-N-37-101-02722		
400015	84	W	4	1	26000	3.09	33.15	37.534901	-122.076575	.875	ML	3	Toll Plaza	DT817	L3-W-33-084-00309		
400017	85	S	4	85	68000	10.07	10.07	37.253303	-121.94544	.43	ML	4	Bascom Avenue	E37DZ	L4-S-37-085-01007		
400025	680	N	4	13	83346	13.70	45.201	37.891953	-122.062776	.455	ML	5	NB S Main St/Newell Ave-1	DT542	L5-N-28-680-01370		
400026	580	E	4	1	53000	43.36	59.293	37.809074	-122.244479	.47	ML	4	Lakeshore Ave	DT109	L4-E-33-580-04336		
400027	80	E	4	13	60620	1.24	14.573	37.914241	-122.317388	.21	ML	4	Carlson Blvd Off/On-1	DTA13	L4-E-28-080-00124		
400028	280	N	4	81	73262	22.96	45.5	37.649733	-122.451962	.2	ML	4	EB Westborough Blvd	E35AB	L4-N-35-280-02296		
400030	880	S	4	85	68000	3.64	3.64	37.359087	-121.906538	.25	ML	3	North 1St St	E37JI	l3-S-37-880-00364		
400031	580	W	4	1	53000	40.11	56.34	37.787056	-122.196191	.847	ML	4	NB Macarthur Blv	DT105	L4-W-33-580-04011		
400037	680	S	4	13	57764	17.58	49.081	37.943413	-122.05914	.16	ML	6	Monument blvd rm s diag	DT740	L6-S-28-680-01758		
400038	880	S	4	1	33000	14.95	25.177	37.622701	-122.078223	.48	ML	5	Tennyson Rd	DT388	L5-S-33-880-01495		
400039	101	N	4	81	73262	20.64	422.827	37.635096	-122.403232	.13	ML	4	San Bruno Ave - I-380-1	DT903	L4-N-35-101-02064		
400040	87	S	4	85	68000	2.87	2.87	37.294625	-121.873166	.205	ML	2	Curtner Ave	E37EV	L2-S-37-087-00287		
400041	880	N	4	1	33000	15.80	26.027	37.633535	-122.085656	.97	ML	4	Tennyson Rd.	E33CK	L4-N-33-880-01580		
400043	101	S	4	75	67000	3.30	431.63	37.753591	-122.403092	.46	ML	4	25th St	DT232	L4-S-34-101-00330		
400044	680	S	4	95		5.06	63.222	38.116435	-122.106331	2.02	ML	2	Parish Rd	DT773	L2-S-23-680-00506		
400045	880	N	4	85	68000	4.02	4.02	37.363402	-121.902233	.35	ML	3	SB 101 To NB 880	E37GQ	L3-N-37-880-00402		
400048	24	E	4	13	54232	1.15	5.498	37.86726	-122.199105	.41	ML	4	Gateway Blvd	DT428	L4-E-28-024-00115		
400049	4	E	4	13		17.12	16.959	38.015319	-121.992996	.36	ML	3	Willow Pass Rd.	DT864	L3-E-28-004-01712		
400050	238	N	4	1		15.41	15.233	37.688984	-122.114253	.335	ML	3	SR-185	DT144	L3-N-33-238-01541		
400052	85	N	4	85	68000	6.14	6.14	37.255791	-121.875479	.555	ML	3	Almaden Expressway	E37EX	L3-N-37-085-00614		
400053	680	S	4	13		11.22	42.612	37.862379	-122.034414	.295	ML	4	Livorna Rd	DT265	L4-S-28-680-01122		
400057	880	N	4	85	68000	1.33	1.33	37.335022	-121.935522	.735	ML	3	WB Bascom Ave	E37JO	l3-N-37-880-00133		
400059	85	S	4	85	68000	7.97	7.97	37.250481	-121.907735	1.005	ML	3	Camden Avenue	E37EB	L3-S-37-085-00797		
400060	80	W	4	1	6000	6.14	11.45	37.870977	-122.305289	.39	ML	5	WB University Ave		L5-W-33-080-00614		
400065	87	S	4	85	68000	4.90	4.9	37.32044	-121.890471	.28	ML	2	SB 280 To SB 87	E37DH	L2-S-37-087-00490		
400067	880	S	4	1	81204	12.94	23.167	37.597694	-122.060285	.275	ML	4	Alvarado-Niles Road	E33CV	L4-S-33-880-01294		
400069	101	S	4	85	69084	42.77	392.443	37.385758	-121.977493	.36	ML	4	Great America Parkway	DT084	L4-S-37-101-04277		
400071	92	W	4	81	25338	13.93	14.656	37.567395	-122.26939	.73	ML	3	End Br 35-189	DT037	L3-W-35-092-01393		
400073	17	S	4	85	44112	9.40	21.953	37.2563	-121.955559	.465	ML	2	NB 85 To SB 17	E37EK	L2-S-37-017-00940		
400074	80	W	4	95	81666	3.40	30.872	38.108307	-122.22977	1.34	ML	3	Tennessee St	DT060	L3-W-23-080-00340		
400075	580	E	4	1	53000	45.56	61.493	37.82576	-122.275143	1.089	ML	6	EB SR-24	DT342	L6-E-33-580-04556		
400078	680	N	4	13	83346	15.46	46.961	37.91393	-122.066407	.465	ML	6	Ygnacio Valley Rd	DT546	L6-N-28-680-01546		
400079	80	W	4	13	60620	0.51	13.843	37.904377	-122.313309	.235	ML	4	Carlson Blvd		L4-W-28-080-00051		
400082	80	E	4	13	60620	6.27	19.603	37.980187	-122.317007	.185	ML	4	WB Hilltop Dr	DT169	L4-E-28-080-00627		
400083	24	W	4	1	53000	2.89	1.043	37.839085	-122.26443	.36	ML	4	Rte I-580	DT069	L4-E-33-024-00289		
400084	280	S	4	85	17610	8.22	9.602	37.329258	-122.012053	.665	ML	4	Wolfe Road	E37BK	L4-S-37-280-00822		
400085	85	S	4	85	68000	6.10	6.1	37.255594	-121.87471	.495	ML	3	Almaden Expressway	E37CG	L3-S-37-085-00610		
400088	880	N	4	85	47766	7.65	7.65	37.414988	-121.912685	.475	ML	3	Great Mall Parkway	DT065	L3-N-37-880-00765		
400090	680	N	4	13	17988	7.30	38.692	37.819048	-121.993114	.32	ML	5	Sycamore Valley Rd	DT255	L5-N-28-680-00730		
400091	880	S	4	1	68084	22.50	32.727	37.70723	-122.162087	.295	ML	5	200' N of Fairway/Aladdin Dr	DT401	L5-S-33-880-02250		
400093	880	S	4	1	53000	33.80	44.027	37.811953	-122.303779	.825	ML	4	7th St	DT630	L4-S-33-880-03380		
400094	880	N	4	1	53000	28.88	39.107	37.776769	-122.236107	.225	ML	4	23th Ave./Kennedy St.	E33FC	L4-N-33-880-02888		
400095	80	W	4	13	60620	0.23	13.563	37.900816	-122.310886	.19	ML	4	Central Ave	DT461	L4-W-28-080-00023		
400096	237	W	4	85	69084	6.18	6.237	37.418049	-121.972381	.543	ML	3	Great America Parkway	E37EZ	L3-W-37-237-00618		
400097	85	S	4	85	70280	13.93	14.106	37.279012	-122.010614	.755	ML	3	Saratoga Avenue	E37DT	L3-S-37-085-01393		
400100	17	S	4	85	10340	12.39	24.943	37.295052	-121.938872	1.634	ML	3	Hamilton Avenue	E37J6	l3-S-37-017-01239		
400101	24	W	4	13	54232	1.81	6.158	37.872945	-122.189548	.585	ML	5	Camino Pablo	DT429	L5-W-28-024-00181		
400103	24	E	4	1	53000	2.89	1.043	37.839128	-122.264826	.44	ML	4	Claremont Ave	DT069	L4-W-33-024-00289		
400104	237	E	4	85	68000	7.11	7.162	37.419313	-121.95548	.665	ML	3	North First Street	E37FA	L3-E-37-237-00711		
400105	680	S	4	13	68378	4.35	35.767	37.779363	-121.976498	.26	ML	4	Crow Canyon Rd	DT250	L4-S-28-680-00435		
400107	101	N	4	81	68252	11.65	413.837	37.550467	-122.293264	.24	ML	4	Lane Drop	DT264	L4-N-35-101-01165		
400108	17	N	4	85		4.06	16.613	37.190197	-121.992771	3.995	ML	2	Bear Creek Road	E37FC	L2-N-37-017-00406		
400109	101	S	4	85	68000	37.61	387.283	37.362706	-121.889426	.785	ML	4	Oakland Road	DT027	L4-S-37-101-03761		
400110	680	S	4	13	57764	18.14	49.641	37.951045	-122.055749	.59	ML	6	Monument Blvd	DT356	L6-S-28-680-01814		
400111	580	E	4	1	57792	18.85	34.882	37.70141	-121.888557	.205	ML	4	Hacienda Dr	DT661	L4-E-33-580-01885		
400113	80	W	4	13	60620	2.62	15.953	37.932553	-122.326013	.46	ML	4	Barrett Ave	DT463	L4-W-28-080-00262		
400115	238	S	4	1		15.41	15.233	37.688688	-122.114306	.34	ML	3	Hesperian Blvd/Sr 185 - 1	DT144	L3-S-33-238-01541		
400116	101	S	4	81		20.53	422.753	37.633443	-122.403124	.4	ML	4	San Bruno Ave - I-380-1	DT293	L4-S-35-101-02053		
400118	680	N	4	13	68378	4.41	35.827	37.780247	-121.976637	.255	ML	4	EB Crow Canyon Rd	DT250	L4-N-28-680-00441		
400119	101	N	4	81		18.58	420.767	37.608473	-122.389316	.29	ML	4	Millbrae Ave	DT286	L4-N-35-101-01858		
400122	880	N	4	85	68000	4.21	4.21	37.36614	-121.901132	.24	ML	3	NB 101 To NB 880	E37GP	L3-N-37-880-00421		
400124	80	E	4	13		12.00	25.333	38.037879	-122.248062	.44	ML	3	Willow Ave/Cumming Skwy-2	DT024	L3-E-28-080-01200		
400125	101	N	4	81		19.37	421.557	37.617067	-122.398437	.1	ML	6	S.F.Airport-San Bruno Ave -1	DT289	L6-N-35-101-01937		
400126	80	W	4	1	6000	5.09	10.4	37.856366	-122.301014	.38	ML	5	University Ave		L5-W-33-080-00509		
400127	84	E	4	1	26000	0.89	30.95	37.516003	-122.106861	1.1	ML	3	End Dumbarton Bridge	DT922	L3-E-33-084-00089		
400128	80	W	4	95	81666	1.75	29.222	38.084974	-122.233096	.52	ML	3	Magazine St	DT056	L3-W-23-080-00175		
400132	85	N	4	85	68000	2.11	2.11	37.243208	-121.806387	1.515	ML	3	Cottle Road	E37CE	L3-N-37-085-00211		
400134	880	S	4	1	53000	24.75	34.977	37.731787	-122.188781	.335	ML	4	98th Ave.	DT756	L4-S-33-880-02475		
400137	880	N	4	1	26000	8.83	19.057	37.54653	-122.022581	.3	ML	4	Thornton Ave.	E33GK	L4-N-33-880-00883		
400138	101	S	4	85	68000	32.85	382.519	37.31631	-121.829714	.9	ML	4	Tully Road	E37CP	L4-S-37-101-03285		
400141	880	N	4	1	26000	6.37	16.597	37.523522	-121.989607	.455	ML	4	Stevenson Blvd.	E33CY	L4-N-33-880-00637		
400143	101	S	4	41		18.62	459.225	38.074388	-122.541483	.405	ML	5	WB SR-37/S Novato Blvd	DT564	L5-S-27-101-01862		
400145	85	N	4	85	68000	4.03	4.03	37.251693	-121.838501	.67	ML	3	Blossom Hill Road	E37CA	L3-N-37-085-00403		
400146	880	S	4	1		19.68	29.907	37.680405	-122.123301	.295	ML	6	100' S of Paseo Grande	DT399	L6-S-33-880-01968		
400147	880	N	4	85	68000	2.04	2.04	37.34221	-121.926305	1.09	ML	3	The Alameda/ Route 82	E37K2	l3-N-37-880-00204		
400148	85	N	4	85	68000	8.23	8.23	37.250664	-121.912479	.565	ML	3	Camden Avenue	E37EC	L3-N-37-085-00823		
400149	101	S	4	85	49670	48.59	398.263	37.4118	-122.077964	.05	ML	3	S Shoreline Boulevard rm-s-diag	E33G1	L3-S-37-101-04859		
400150	680	N	4	13	83346	12.09	43.482	37.872824	-122.043122	.15	ML	4	S of Rudgear Rd	DT268	L4-N-28-680-01209		
400152	680	N	4	13	17988	6.31	37.727	37.805539	-121.990262	.448	ML	4	Sycamore Valley Rd	DT253	L4-N-28-680-00631		
400153	580	E	4	1	41992	15.40	31.432	37.700916	-121.825597	.63	ML	4	NB Tassajara Rd	DT314	L4-E-33-580-01540		
400154	17	N	4	85	44112	7.05	19.603	37.226342	-121.975157	2.5	ML	2	Saratoga Avenue / Hwy 9	E37J1	L2-N-37-017-00705		
400156	280	N	4	75	67000	2.05	52.011	37.727079	-122.445019	2.345	ML	5	Ocean/Geneva Ave	DT007	L5-N-34-280-00205		
400158	237	W	4	85	68000	8.17	8.222	37.421059	-121.93678	2.57	ML	3	Zanker Road	E37EG	L3-W-37-237-00817		
400160	101	S	4	85	68000	35.64	385.309	37.348392	-121.860589	.455	ML	4	Alum Rock Av / Route 130	E37E7	L4-S-37-101-03564		
400162	92	W	4	81	68252	11.51	12.236	37.552555	-122.307411	.565	ML	2	S Delaware St	DT034	L2-W-35-092-01151		
400164	84	W	4	1	26000	2.11	32.17	37.530179	-122.093116	.71	ML	3	Toll Plaza/Begin Dumb.Br.-1	DT825	L3-W-33-084-00211		
400169	680	S	4	13	83346	11.94	43.332	37.870801	-122.042021	.145	ML	4	Rudgear  Rd	DT536	L4-S-28-680-01194		
400171	24	E	4	13	39122	4.53	8.878	37.891457	-122.152067	.335	ML	4	Acalanes Rd	DT440	L4-E-28-024-00453		
400172	101	S	4	85	68000	40.59	390.263	37.376264	-121.939712	.425	ML	4	De La Cruz Boulevard	E37GU	L4-S-37-101-04059		
400174	85	N	4	85	49670	23.48	23.656	37.403686	-122.06976	2.219	ML	3	Moffett Boulevard	E37FY	L3-N-37-085-02348		
400176	80	W	4	1	6000	5.82	11.13	37.866548	-122.30386	.255	ML	5	University Ave		L5-W-33-080-00582		
400178	87	N	4	85	68000	1.53	1.53	37.276988	-121.863502	.34	ML	2	Capitol Expressway	E37BT	L2-N-37-087-00153		
400180	880	N	4	1		19.04	29.267	37.674405	-122.114201	.325	ML	5	A St	DT397	L5-N-33-880-01904		
400181	101	N	4	85	68000	27.02	376.291	37.244125	-121.772528	.385	ML	2	Bernal Road	E37CR	L2-N-37-101-02702		
400182	80	E	4	13	60620	2.05	15.383	37.925458	-122.320648	.31	ML	6	Cutting Blvd	DT166	L6-E-28-080-00205		
400183	101	N	4	81	8310	24.81	426.997	37.689942	-122.390669	.77	ML	4	Sierra Pt Pkwy/Marina Blvd	DT300	L4-N-35-101-02481		
400184	680	N	4	13	16000	19.09	50.79	37.966533	-122.056341	1.154	ML	4	Willow Pass Rd/SB Sr 242 - 1	DT853	L4-N-28-680-01909		
400185	85	N	4	85	68000	16.06	16.236	37.303131	-122.034527	.91	ML	3	De Anza Boulevard	E37DQ	L3-N-37-085-01606		
400186	880	S	4	1	26000	11.05	21.277	37.572471	-122.046218	.55	ML	4	Fremont Blvd	DT382	L4-S-33-880-01105		
400189	880	N	4	1	26000	3.28	13.507	37.493107	-121.948928	.52	ML	4	Fremont Blvd.	E33GC	L4-N-33-880-00328		
400190	880	S	4	1	53000	28.07	38.297	37.771395	-122.223163	.56	ML	4	42nd / High St.	DT724	L4-S-33-880-02807		
400192	880	S	4	1	68084	23.35	33.577	37.71565	-122.173379	.165	ML	5	Davis St off diag	DT917	L5-S-33-880-02335		
400193	680	S	4	13	57764	17.01	48.511	37.935254	-122.060384	.5	ML	4	Contra Costa Blvd (Pleasant Hill	DT550	L4-S-28-680-01701		
400195	101	N	4	85	68000	33.27	382.903	37.321278	-121.834098	.65	ML	5	Tully Road	E37EJ	l5-N-37-101-03327		
400197	24	E	4	13	39122	6.73	11.078	37.895088	-122.112962	.43	ML	4	Oak Hill Rd	DT449	L4-E-28-024-00673		
400201	237	W	4	85	68000	6.70	6.752	37.419186	-121.962831	.462	ML	3	North First Street	E37HB	L3-W-37-237-00670		
400202	580	E	4	13	60620	2.31	66.236	37.92135	-122.337615	.74	ML	3	NB S 23rd St	DT121	L3-E-28-580-00231		
400203	580	E	4	1	53000	44.68	60.613	37.822145	-122.259965	.365	ML	4	SR-24/West St - Oakland Ave/Harr	DT337	L4-E-33-580-04468		
400204	84	W	4	1	26000	1.31	31.37	37.521657	-122.102892	.39	ML	3	Toll Plaza/Begin Dumb.Br.-3	DT921	L3-W-33-084-00131		
400206	101	S	4	85	68000	41.87	391.543	37.381356	-121.96211	.395	ML	4	Montague Expressway	E37V9	L4-S-37-101-04187		
400207	680	N	4	13	17988	7.98	39.372	37.82774	-121.997739	.425	ML	4	El Cerro Blvd	DT258	L4-N-28-680-00798		
400208	680	S	4	13	83346	16.09	47.591	37.922084	-122.061731	.135	ML	6	Geary Rd/Treat Blvd	DT547	L6-S-28-680-01609		
400209	85	S	4	85	17610	17.49	17.666	37.319961	-122.049031	2.07	ML	4	Stevens Creek Boulevard	E37DN	L4-S-37-085-01749		
400211	680	N	4	13	83346	13.36	44.861	37.889123	-122.057695	.35	ML	5	1700' N of S Main St	DT262	L5-N-28-680-01336		
400212	680	N	4	13	68378	2.53	33.947	37.755539	-121.962311	.38	ML	4	Lane Add	DT500	L4-N-28-680-00253		
400213	85	S	4	85	44112	11.16	11.336	37.259192	-121.967128	1.32	ML	4	Winchester Boulevard	E37DU	L4-S-37-085-01116		
400214	101	N	4	41	52582	19.05	460.323	38.079686	-122.545663	.29	ML	3	EB SR-37	DT565	L3-N-27-101-01905		
400216	580	E	4	13	60620	1.98	65.906	37.919642	-122.332292	.431	ML	3	Lane Drop	DT119	L3-E-28-580-00198		
400218	880	N	4	1	53000	33.15	43.377	37.803542	-122.301498	.745	ML	4	7th St	DT332	L4-N-33-880-03315		
400221	17	N	4	85	10340	12.28	24.833	37.293614	-121.937899	2.524	ML	3	Hamilton Avenue	E37J5	l3-N-37-017-01228		
400222	85	N	4	85	68000	13.52	13.696	37.275395	-122.004702	1.385	ML	3	Saratoga Avenue	E37DR	L3-N-37-085-01352		
400223	101	S	4	85	68000	23.29	372.597	37.208606	-121.722043	.805	ML	4	Bailey Ave rm s diag	DT492	L4-S-37-101-02329		
400224	24	W	4	1	53000	2.63	.783	37.835531	-122.266013	.285	ML	4	Rte I-580	DT616	L4-W-33-024-00263		
400225	880	S	4	1	68084	20.65	30.877	37.689656	-122.136588	.9	ML	4	Washington Ave.	E33EF	L4-S-33-880-02065		
400227	101	N	4	85	68000	40.81	390.447	37.377237	-121.943586	1.015	ML	4	Trimble Road	DT475	l4-N-37-101-04081		
400228	880	S	4	1	68084	23.53	33.757	37.71769	-122.175415	.625	ML	4	WB Davis St (Route 112)	DT701	L4-S-33-880-02353		
400231	280	S	4	75	67000	6.52	56.493	37.762469	-122.392743	2.348	ML	3	18Th/Penn	DT249	L3-S-34-280-00652		
400232	680	N	4	1	26000	0.35	10.285	37.46898	-121.907492	.7	ML	3	Scott Creek Rd	DT354	L3-N-33-680-00035		
400235	80	W	4	13		11.71	25.043	38.034452	-122.251416	.55	ML	4	Cummings Skyway/Willow - 1	DT023	L4-W-28-080-01171		
400236	87	S	4	85	68000	5.26	5.26	37.325105	-121.893262	.595	ML	2	Auzerais Ave/Delmas St	E37DF	L2-S-37-087-00526		
400237	101	N	4	85	68000	23.39	372.661	37.209941	-121.722999	.805	ML	4	Bailey Ave rm s loop	DT531	L4-N-37-101-02339		
400238	880	S	4	85	47766	7.53	7.53	37.413256	-121.912324	.475	ML	3	Great Mall Parkway	DT064	L3-S-37-880-00753		
400240	17	N	4	85	44112	9.55	22.103	37.258184	-121.953853	.585	ML	3	NB 85 To NB 17	E37DV	L3-N-37-017-00955		
400242	880	S	4	1	53000	34.90	45.127	37.824311	-122.291457	.15	ML	4	7th St	DT357	L4-S-33-880-03490		
400245	80	E	4	13		11.78	25.113	38.035279	-122.250441	.98	ML	3	Willow Ave/Cumming Skwy-1	DT022	L3-E-28-080-01178		
400246	101	N	4	85	69084	42.70	392.337	37.38562	-121.976214	.05	ML	4	Bowers/Great America	E37Q8	l4-N-37-101-04270		
400248	880	S	4	1	26000	8.87	19.097	37.546915	-122.023163	.61	ML	4	Thornton Ave.	E33GY	L4-S-33-880-00887		
400249	880	N	4	1	26000	4.66	14.887	37.506892	-121.966671	.405	ML	4	Auto Mall Pkwy(Durham Rd.)	E33GF	L4-N-33-880-00466		
400251	24	E	4	13	39122	6.12	10.468	37.893156	-122.123812	.49	ML	4	Acalanes Rd/Oak Hill Rd - 2	DT447	L4-E-28-024-00612		
400252	880	N	4	1	68084	20.42	30.647	37.687544	-122.133225	.43	ML	4	Lewelling Blvd.	E33EE	L4-N-33-880-02042		
400253	880	S	4	85	68000	2.10	2.1	37.342957	-121.925721	.305	ML	3	SR-82	E37K3	l3-S-37-880-00210		
400255	101	N	4	75	67000	1.40	429.694	37.727662	-122.402599	.4	ML	5	Bayshore	TV380	L5-N-34-101-00140		
400257	87	S	4	85	68000	2.66	2.66	37.29173	-121.871969	.385	ML	2	EB Curtner Ave	E37BX	L2-S-37-087-00266		
400258	87	N	4	85	68000	4.36	4.36	37.313568	-121.886074	.58	ML	3	Lelong Anenue	E37ED	L3-N-37-087-00436		
400260	101	S	4	81	8310	25.73	427.953	37.703072	-122.393983	.468	ML	4	Harney Way	DT404	L4-S-35-101-02573		
